Enemies = {
{"Grunt",2,2,1,"A simple creature that whacks things with its fists."," +1 Ware",0,"Grunt"},
{"Plot Armour",2,6,0,"While active all active enemies gain +1 RR. This can not be attacked, but is discarded if an enemy is defeated."," +1 Ware",0,""},
{"Thieving Robot",5,2,1,"If a player activated a relic while this is active they must discard a Ware."," +4 β",0,""},
{"Schizophrenic Shopkeep",0,0,0,"When revealed, roll: 4-6: add a new slot to the shop. 1-3: Die.","",0,""},
{"Seductive Robot",5,3,1,"On attack rolls of 6 combat ends. Damage dealt to this is reduced to 1."," +1 HP for your next 2 turns",0,""},
{"Virus",3,3,1,"When defeated, roll: 1-3: Add a Jinx to the board. 4-6: Nothing."," +1 Ware",0,""},
{"Warden",4,3,1,"When defeated, you may add a new active enemy slot to the board."," +1 Ware",0,""},
{"Land Shark",4,3,2,"Rows of gnashing teeth!'"," +2 Ware",0,""},
{"Tunneling Terror",1,5,2,"The ground is shaking!'"," +1 Relic",0,""},
{"Buzzing Puppet",3,3,1,"The fear grows as the vibrations grow near.'"," +3 β",0,""},
{"Sentient Gingerbread Man",2,4,1,"Do you know, the Muffin Man?'"," +1 Ware",0,""},
{"Tub Bug",1,2,0,"You may pet this and gain 1 β once per turn"," +2 Wares",0,""},
{"Gilded Tub Bug",2,2,0,"You may pet this and gain 2 β once per turn"," +1 Relic",0,""},
{"Vampire",3,4,1,"Does not take damage on rolls of 6. When dealing damage, this heals +1 HP."," Steal 1 Ware from another player (They must reveal their hand to you).",0,""},
{"Sentient Dryer",4,3,1,"Hope your clothes are machine dryer safe'"," +1 Ware",0,""},
{"Eyes that Judge",4,4,1,"While active, you can not purchase any items from the shop."," +X β",0,""},
{"Automagical Golem",6,4,1,"The eyes are like spotlights that look down on me'"," +1 Relic",1,""},
{"Schlump",8,4,2,"If not in combat, once per turn you may roll: 1-5: Nothing. 6: Gain +1 Ware."," +10 β",2,""},
{"Offensive Origami",2,3,1,"Folded up slurs, hate speech, and propaganda.'"," +3 β",0,""},
{"Lawyer",0,0,0,"Lose half your β Rounded up.","",0,""},
{"Buff Shroom",4,3,1,"A spore to stomp you to the floor.'"," +1 Ware",0,""},
{"Rock",8,2,0,"It's not just a boulder! its a Rock!'"," +7 β",0,""},
{"Large Ladybot",6,4,1,"Comes with a variety of attatchments.'"," +2 Wares",1,""},
{"Big Green Rat",4,4,1,"Gains +1 ATK at 1 HP."," +6 β",0,""},
{"Ballguy",2,3,1,"When this dies, roll: 1-2: Nothing. 3-4: Attacking player takes 1 damage. 5-6: All players take 1 damage."," +1 Ware",0,""},
{"Melting Experiment",1,5,2,"On death, this deals 1 damage to all players and active enemies."," +7 β",0,""},
{"Living Factory",4,3,1,"When this dies, expand the active monster slots by 2. You must fight again this turn."," +2 Wares",0,""},
{"Assassin",2,4,1,"When revealed, gains +1 ATK & RR until the end of the turn."," +2 Wares",0,""},
{"Laser Crystal",3,3,99,"On a roll of 6, cancel the attack and fight another active enemy."," +X Wares",0,""},
{"Cockatrice",5,3,1,"If you roll a 3 while fighting this, die."," +1 Relic",1,""},
{"Roid Raccoon",10,2,1,"His addiction began when he found a trash can full of needles."," +1 ATK for your next 3 turns",0,""},
{"Wasteland Robot",4,4,1,"Gains +1 ATK each time it takes damage."," +1 Relic",0,""},
{"Sentient Beartrap",3,2,1,"All players have -1 to attack rolls while this is active."," +8 β",0,""},
{"Haunted Piano",4,4,1,"Gains +1 ATK and RR at 2 HP."," +1 Relic",1,""},
{"Warehouse",0,0,0,"When this is revealed, all players gain 1 Ware of their choosing.","",0,""},
{"Monk-Eye",3,5,1,"Trained in the ancient monkey way, he has abstained from just being an observer!'"," +1 Relic",0,""},
{"Marble Goddess",3,3,1,"All jinxes are discarded in its presence."," +X β",0,""},
{"Divine Intervention",0,0,0,"Players vote to remove a jinx, if there are no jinxes then this removes the next jinx put on the board.","",0,""},
{"Osmosis Homunculus",6,3,5,"When revealed this 'absorbs' all enemies on the board. This cannot be discarded and no other enemies may be drawn or fought. When this is defeated max enemy count is reduced to 2.","The drops of the absorbed enemies including souls.",0,""},
{"House Repainting",0,0,0,"When revealed, reduce the max enemy count down by 1. 'Do the walls seem thicker to you?'","",0,""}
}
